row_type,node_key,neo_id,labels,source_key,source_neo_id,source_labels,source_props,target_key,target_neo_id,target_labels,target_props,rel_type,display,props
NODE,Category:1,10,Category,,,,,,,,,,Smartphone,"{""id"": 1, ""name"": ""Smartphone""}"
NODE,Category:2,47,Category,,,,,,,,,,Laptop,"{""id"": 2, ""name"": ""Laptop""}"
NODE,Category:3,43,Category,,,,,,,,,,Tablet,"{""id"": 3, ""name"": ""Tablet""}"
NODE,Category:4,40,Category,,,,,,,,,,Smartwatch,"{""id"": 4, ""name"": ""Smartwatch""}"
NODE,Category:5,37,Category,,,,,,,,,,Audio,"{""id"": 5, ""name"": ""Audio""}"
NODE,Category:6,32,Category,,,,,,,,,,Accessories,"{""id"": 6, ""name"": ""Accessories""}"
NODE,Category:7,29,Category,,,,,,,,,,Fiction,"{""id"": 7, ""name"": ""Fiction""}"
NODE,Category:8,23,Category,,,,,,,,,,Non-fiction,"{""id"": 8, ""name"": ""Non-fiction""}"
NODE,Category:9,25,Category,,,,,,,,,,Children,"{""id"": 9, ""name"": ""Children""}"
NODE,Category:10,19,Category,,,,,,,,,,Clothing,"{""id"": 10, ""name"": ""Clothing""}"
NODE,Category:11,13,Category,,,,,,,,,,Shoes,"{""id"": 11, ""name"": ""Shoes""}"
NODE,Category:12,15,Category,,,,,,,,,,Bags,"{""id"": 12, ""name"": ""Bags""}"
NODE,Product:1,79,Product,,,,,,,,,,1,"{""id"": 1}"
NODE,Product:2,78,Product,,,,,,,,,,2,"{""id"": 2}"
NODE,Product:3,77,Product,,,,,,,,,,3,"{""id"": 3}"
NODE,Product:4,76,Product,,,,,,,,,,4,"{""id"": 4}"
NODE,Product:5,75,Product,,,,,,,,,,5,"{""id"": 5}"
NODE,Product:6,74,Product,,,,,,,,,,6,"{""id"": 6}"
NODE,Product:7,73,Product,,,,,,,,,,7,"{""id"": 7}"
NODE,Product:8,72,Product,,,,,,,,,,8,"{""id"": 8}"
NODE,Product:9,71,Product,,,,,,,,,,9,"{""id"": 9}"
NODE,Product:10,70,Product,,,,,,,,,,10,"{""id"": 10}"
NODE,Product:11,69,Product,,,,,,,,,,11,"{""id"": 11}"
NODE,Product:12,68,Product,,,,,,,,,,12,"{""id"": 12}"
NODE,Product:13,67,Product,,,,,,,,,,13,"{""id"": 13}"
NODE,Product:14,66,Product,,,,,,,,,,14,"{""id"": 14}"
NODE,Product:15,65,Product,,,,,,,,,,15,"{""id"": 15}"
NODE,Product:16,64,Product,,,,,,,,,,16,"{""id"": 16}"
NODE,Product:17,63,Product,,,,,,,,,,17,"{""id"": 17}"
NODE,Product:18,62,Product,,,,,,,,,,18,"{""id"": 18}"
NODE,Product:19,61,Product,,,,,,,,,,19,"{""id"": 19}"
NODE,Product:20,60,Product,,,,,,,,,,20,"{""id"": 20}"
NODE,Product:21,59,Product,,,,,,,,,,21,"{""id"": 21}"
NODE,Product:22,58,Product,,,,,,,,,,22,"{""id"": 22}"
NODE,Product:23,57,Product,,,,,,,,,,23,"{""id"": 23}"
NODE,Product:24,56,Product,,,,,,,,,,24,"{""id"": 24}"
NODE,Product:25,55,Product,,,,,,,,,,25,"{""id"": 25}"
NODE,Product:26,54,Product,,,,,,,,,,26,"{""id"": 26}"
NODE,Product:27,53,Product,,,,,,,,,,27,"{""id"": 27}"
NODE,Product:28,52,Product,,,,,,,,,,28,"{""id"": 28}"
NODE,Product:29,51,Product,,,,,,,,,,29,"{""id"": 29}"
NODE,Product:30,50,Product,,,,,,,,,,30,"{""id"": 30}"
NODE,Product:31,49,Product,,,,,,,,,,31,"{""id"": 31}"
NODE,Product:32,48,Product,,,,,,,,,,32,"{""id"": 32}"
NODE,Product:33,46,Product,,,,,,,,,,33,"{""id"": 33}"
NODE,Product:34,45,Product,,,,,,,,,,34,"{""id"": 34}"
NODE,Product:35,44,Product,,,,,,,,,,35,"{""id"": 35}"
NODE,Product:36,42,Product,,,,,,,,,,36,"{""id"": 36}"
NODE,Product:37,41,Product,,,,,,,,,,37,"{""id"": 37}"
NODE,Product:38,39,Product,,,,,,,,,,38,"{""id"": 38}"
NODE,Product:39,38,Product,,,,,,,,,,39,"{""id"": 39}"
NODE,Product:40,36,Product,,,,,,,,,,40,"{""id"": 40}"
NODE,Product:41,35,Product,,,,,,,,,,41,"{""id"": 41}"
NODE,Product:42,34,Product,,,,,,,,,,42,"{""id"": 42}"
NODE,Product:43,33,Product,,,,,,,,,,43,"{""id"": 43}"
NODE,Product:44,31,Product,,,,,,,,,,44,"{""id"": 44}"
NODE,Product:45,9,Product,,,,,,,,,,45,"{""id"": 45}"
NODE,Product:46,30,Product,,,,,,,,,,46,"{""id"": 46}"
NODE,Product:47,28,Product,,,,,,,,,,47,"{""id"": 47}"
NODE,Product:48,27,Product,,,,,,,,,,48,"{""id"": 48}"
NODE,Product:49,26,Product,,,,,,,,,,49,"{""id"": 49}"
NODE,Product:50,24,Product,,,,,,,,,,50,"{""id"": 50}"
NODE,Product:51,22,Product,,,,,,,,,,51,"{""id"": 51}"
NODE,Product:52,21,Product,,,,,,,,,,52,"{""id"": 52}"
NODE,Product:53,20,Product,,,,,,,,,,53,"{""id"": 53}"
NODE,Product:54,18,Product,,,,,,,,,,54,"{""id"": 54}"
NODE,Product:55,12,Product,,,,,,,,,,55,"{""id"": 55}"
NODE,Product:56,17,Product,,,,,,,,,,56,"{""id"": 56}"
NODE,Product:57,14,Product,,,,,,,,,,57,"{""id"": 57}"
NODE,Query:chơi game,5,Query,,,,,,,,,,chơi game,"{""text"": ""chơi game""}"
NODE,Query:tôi muốn mua laptop,3,Query,,,,,,,,,,tôi muốn mua laptop,"{""text"": ""tôi muốn mua laptop""}"
NODE,Query:tôi muốn mua laptop gaming,2,Query,,,,,,,,,,tôi muốn mua laptop gaming,"{""text"": ""tôi muốn mua laptop gaming""}"
NODE,Query:tôi muốn mua tai nghe,7,Query,,,,,,,,,,tôi muốn mua tai nghe,"{""text"": ""tôi muốn mua tai nghe""}"
NODE,Query:tôi muốn mua điện thoại,6,Query,,,,,,,,,,tôi muốn mua điện thoại,"{""text"": ""tôi muốn mua điện thoại""}"
NODE,Query:tôi muốn mua điện thoại apple,80,Query,,,,,,,,,,tôi muốn mua điện thoại apple,"{""text"": ""tôi muốn mua điện thoại apple""}"
NODE,Query:tôi muốn mua điện thoại thông minh,1,Query,,,,,,,,,,tôi muốn mua điện thoại thông minh,"{""text"": ""tôi muốn mua điện thoại thông minh""}"
NODE,User:1,11,User,,,,,,,,,,1,"{""id"": ""1""}"
NODE,User:2,8,User,,,,,,,,,,2,"{""id"": ""2""}"
NODE,User:3,16,User,,,,,,,,,,3,"{""id"": ""3""}"
NODE,User:1,0,User,,,,,,,,,,1,"{""id"": 1}"
NODE,User:2,4,User,,,,,,,,,,2,"{""id"": 2}"
